"NR";"ONR";"KNR";"BETRAG";"TEXT";"VON";"BIS";"LIEFKNR";"ART";"BETRAG_GES";"BETRAG_MATERIAL";"BETRAGHD_GES";"USCHL_BEZ";"KBEW"
3343;44;200400;71,14;"Gartenarbeiten";;;;4;508,11;0,00;508,11;"Eigentumsanteil";"J"
3344;44;200400;375,95;"Hausreinigung";;;;4;2685,34;0,00;2685,34;"Eigentumsanteil";"J"
2673;72;200300;76,99;"Gartenarbeiten";;;;4;596,43;0,00;596,43;"Eigentumsanteil";"J"
2674;72;200300;322,19;"Hausmeister";;;;4;2495,90;0,00;2495,90;"Eigentumsanteil";"J"
1342;63;200100;645,77;"Hausreinigung";;;;4;3754,45;0,00;3754,45;"Eigentumsanteil";"J"
1343;63;200100;111,85;"Instandhaltung";;;;4;751,44;101,15;650,29;"Eigentumsanteil";"N"
1344;63;200100;61,44;"Schornsteinfeger";;;;4;357,20;0,00;357,20;"Eigentumsanteil";"J"
3345;44;200400;84,00;"Instandhaltung";;;;4;1629,83;1029,85;599,98;"Eigentumsanteil";"N"
3307;76;200100;120,00;"Hausreinigung";;;;4;720,00;0,00;720,00;"Einheiten";"J"
3308;76;200100;37,52;"Instandhaltung";;;;4;323,63;118,63;205,00;"Eigentumsanteil";"N"
3309;76;200200;120,00;"Hausreinigung";;;;4;720,00;0,00;720,00;"Einheiten";"J"
3310;76;200200;37,52;"Instandhaltung";;;;4;323,63;118,63;205,00;"Eigentumsanteil";"N"
3311;76;200300;120,00;"Hausreinigung";;;;4;720,00;0,00;720,00;"Einheiten";"J"
3312;76;200300;35,06;"Instandhaltung";;;;4;323,63;118,63;205,00;"Eigentumsanteil";"N"
2675;72;200300;24,53;"Instandhaltung";;;;4;226,10;36,10;190,00;"Eigentumsanteil";"N"
2676;72;200300;24,20;"Instandhaltung";;;;4;538,71;351,21;187,50;"Eigentumsanteil";"J"
3313;76;200400;120,00;"Hausreinigung";;;;4;720,00;0,00;720,00;"Einheiten";"J"
3314;76;200400;35,06;"Instandhaltung";;;;4;323,63;118,63;205,00;"Eigentumsanteil";"N"
3315;76;200500;120,00;"Hausreinigung";;;;4;720,00;0,00;720,00;"Einheiten";"J"
3316;76;200500;28,70;"Instandhaltung";;;;4;323,63;118,63;205,00;"Eigentumsanteil";"N"
3317;76;200600;120,00;"Hausreinigung";;;;4;720,00;0,00;720,00;"Einheiten";"J"
3318;76;200600;31,16;"Instandhaltung";;;;4;323,63;118,63;205,00;"Eigentumsanteil";"N"
3346;44;200400;4,02;"Schornsteinfeger";;;;4;28,70;0,00;28,70;"Eigentumsanteil";"J"
3347;62;200100;396,76;"Hausmeister";;;;4;2528,75;0,00;2528,75;"Eigentumsanteil";"J"
3378;51;200100;489,23;"Hausreinigung";;;;4;2574,10;0,00;2574,10;"Eigentumsanteil";"J"
3379;51;200100;98,83;"Instandhaltung";;;;4;876,14;356,15;519,99;"Eigentumsanteil";"N"
3380;51;200100;31,46;"Schornsteinfeger";;;;4;194,42;0,00;194,42;"Heizkostenabr.";"J"
3381;51;200200;489,23;"Hausreinigung";;;;4;2574,10;0,00;2574,10;"Eigentumsanteil";"J"
3382;51;200200;98,83;"Instandhaltung";;;;4;876,14;356,15;519,99;"Eigentumsanteil";"N"
3383;51;200200;26,32;"Schornsteinfeger";;;;4;194,42;0,00;194,42;"Heizkostenabr.";"J"
3384;51;200300;436,48;"Hausreinigung";;;;4;2574,10;0,00;2574,10;"Eigentumsanteil";"J"
343;61;200100;456,04;"Hausreinigung";;;;4;1642,20;0,00;1642,20;"Eigentumsanteil";"J"
344;61;200100;54,30;"Schornsteinfeger";;;;4;217,20;0,00;217,20;"Einheiten";"J"
345;61;200200;545,21;"Hausreinigung";;;;4;1642,20;0,00;1642,20;"Eigentumsanteil";"J"
346;61;200200;54,30;"Schornsteinfeger";;;;4;217,20;0,00;217,20;"Einheiten";"J"
3337;84;200100;591,46;"Instandhaltung";;;;4;1627,32;70,85;1556,47;"Eigentumsanteil";"N"
3338;84;200100;78,54;"Schornsteinfeger";;;;4;206,69;0,00;206,69;"Eigentumsanteil";"J"
3339;84;200200;451,38;"Instandhaltung";;;;4;1627,32;70,85;1556,47;"Eigentumsanteil";"N"
3340;84;200200;59,94;"Schornsteinfeger";;;;4;206,69;0,00;206,69;"Eigentumsanteil";"J"
3341;84;200300;513,64;"Instandhaltung";;;;4;1627,32;70,85;1556,47;"Eigentumsanteil";"N"
3342;84;200300;68,21;"Schornsteinfeger";;;;4;206,69;0,00;206,69;"Eigentumsanteil";"J"
347;61;200300;277,70;"Hausreinigung";;;;4;1642,20;0,00;1642,20;"Eigentumsanteil";"J"
348;61;200300;54,30;"Schornsteinfeger";;;;4;217,20;0,00;217,20;"Einheiten";"J"
349;61;200400;363,25;"Hausreinigung";;;;4;1642,20;0,00;1642,20;"Eigentumsanteil";"J"
350;61;200400;54,30;"Schornsteinfeger";;;;4;217,20;0,00;217,20;"Einheiten";"J"
335;70;200100;182,08;"Instandhaltung";;;;4;781,46;0,00;781,46;"Eigentumsanteil";"N"
336;70;200200;212,56;"Instandhaltung";;;;4;781,46;0,00;781,46;"Eigentumsanteil";"N"
337;70;200300;248,50;"Instandhaltung";;;;4;781,46;0,00;781,46;"Eigentumsanteil";"N"
338;70;200400;138,32;"Instandhaltung";;;;4;781,46;0,00;781,46;"Eigentumsanteil";"N"
378;71;200100;11,30;"Instandhaltung";;;;4;133,99;0,00;133,99;"Eigentumsanteil";"N"
