"ONR";"KNR";"BANKNR"
14;1200;23
4;1200;18
5;1200;19
6;1200;20
9;1200;19
10;1200;21
12;1200;22
13;1200;19
15;1200;24
16;1200;24
17;1200;19
11;1200;19
33;1220;48
4;1220;48
19;1200;33
7;1200;19
19;1210;35
19;1220;34
14;1210;34
14;1220;35
12;1210;34
12;1220;35
10;1210;34
10;1220;35
6;1210;35
6;1220;34
15;1210;34
15;1220;35
16;1210;34
16;1220;35
20;1200;18
20;1210;19
19;1230;19
4;1210;19
5;1210;18
7;1210;18
9;1210;18
11;1210;18
17;1210;18
6;1230;24
1;1200;135
7;1220;33
16;1230;20
991;1200;20
991;1210;21
991;1220;22
991;1230;23
991;1240;24
991;1250;33
991;1260;34
