"KNR";"KONTO";"FINANZ";"ART";"STEXP"
1;"Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs";"N";"";"N"
5;"Rückständige fällige Einzahlungen auf Geschäftsanteile";"N";"";"N"
10;"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten";"N";"";"N"
15;"Konzessionen ";"N";"";"N"
20;"Gewerbliche Schutzrechte ";"N";"";"N"
23;"Markennamen ";"N";"";"N"
24;"Drucktitel und Verlagsrechte ";"N";"";"N"
25;"Ähnliche Rechte und Werte";"N";"";"N"
26;"Rezepte, Geheimverfahren, Modelle, Entwürfe und Prototypen";"N";"";"N"
27;"EDV-Software ";"N";"";"N"
30;"Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten";"N";"";"N"
35;"Geschäfts- oder Firmenwert ";"N";"";"N"
38;"Anzahlungen auf Geschäfts- oder Firmenwert ";"N";"";"N"
39;"Geleistete Anzahlungen auf immaterielle Vermögensgegenstände";"N";"";"N"
40;"Verschmelzungsmehrwert";"N";"";"N"
43;"Selbst geschaffene immaterielle Vermögensgegenstände ";"N";"";"N"
44;"EDV-Software ";"N";"";"N"
45;"Lizenzen und Franchiseverträge ";"N";"";"N"
46;"Konzessionen und gewerbliche Schutzrechte";"N";"";"N"
47;"Rezepte, Verfahren, Prototypen";"N";"";"N"
48;"Immaterielle Vermögensgegenstände in Entwicklung";"N";"";"N"
49;"Sonstige immaterielle Vermögenswerte";"N";"";"N"
50;"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken ";"N";"";"N"
59;"Grundstücksanteil des häuslichen Arbeitszimmers ";"N";"";"N"
60;"Grundstücksgleiche Rechte ohne Bauten";"N";"";"N"
65;"Unbebaute Grundstücke ";"N";"";"N"
70;"Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke) ";"N";"";"N"
75;"Grundstücke mit Substanzverzehr ";"N";"";"N"
79;"Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten";"N";"";"N"
80;"Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten ";"N";"";"N"
85;"Grundstückswerte eigener bebauter Grundstücke ";"N";"";"N"
90;"Geschäftsbauten ";"N";"";"N"
100;"Fabrikbauten ";"N";"";"N"
110;"Garagen ";"N";"";"N"
111;"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten ";"N";"";"N"
112;"Hof- und Wegebefestigungen ";"N";"";"N"
113;"Einrichtungen für Geschäfts-, Fabrik- und andere Bauten ";"N";"";"N"
115;"Andere Bauten";"N";"";"N"
120;"Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken";"N";"";"N"
129;"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten";"N";"";"N"
140;"Wohnbauten ";"N";"";"N"
145;"Garagen ";"N";"";"N"
146;"Außenanlagen ";"N";"";"N"
147;"Hof- und Wegebefestigungen ";"N";"";"N"
148;"Einrichtungen für Wohnbauten ";"N";"";"N"
149;"Gebäudeteil des häuslichen Arbeitszimmers";"N";"";"N"
150;"Wohnbauten im Bau auf eigenen Grundstücken ";"N";"";"N"
159;"Anzahlungen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten";"N";"";"N"
160;"Bauten auf fremden Grundstücken";"N";"";"N"
165;"Geschäftsbauten";"N";"";"N"
