"BNR";"BETRAG";"OPBETRAG"
7109;438,00;0,00
7112;424,00;0,00
7115;928,50;0,00
7118;435,00;0,00
7121;435,00;0,00
7124;419,00;0,00
7127;438,00;0,00
7130;424,00;0,00
7133;928,50;0,00
7136;435,00;0,00
7139;435,00;0,00
7142;419,00;0,00
7145;438,00;0,00
7148;424,00;0,00
7151;928,50;0,00
7154;435,00;0,00
7157;435,00;0,00
7160;419,00;0,00
7163;438,00;0,00
7166;424,00;0,00
7169;928,50;0,00
7172;435,00;0,00
7175;435,00;0,00
7178;419,00;0,00
7181;438,00;0,00
7184;424,00;0,00
7187;928,50;0,00
7190;435,00;0,00
7193;435,00;0,00
7196;419,00;0,00
7199;1264,00;0,00
7202;438,00;0,00
7205;424,00;0,00
7208;928,50;0,00
7211;435,00;0,00
7214;435,00;0,00
7217;419,00;0,00
7220;1264,00;0,00
7223;438,00;0,00
7226;424,00;0,00
7229;928,50;0,00
7232;435,00;0,00
7235;435,00;0,00
7238;419,00;0,00
7241;1264,00;0,00
7330;438,00;0,00
7336;928,50;0,00
7339;435,00;0,00
7342;435,00;0,00
7345;419,00;0,00
