"ONR";"KNR";"KBEZ";"KBRUTTO";"OPBETRAG";"KUST";"KVERTEILUNG";"KKSTNR";"KUSCHLNR1";"KUSCHLNR2";"KUSCHLPROZ1";"KUSCHLPROZ2";"KMAHNSTUFE";"KBEW";"KNRSTR";"KABRECHNEN";"KWBRUTTO";"KWBRUTTOALT";"MAHNDATUM";"MAHNGEDRUCKT";"BUTEXT1";"BUTEXT2";"BUTEXT3";"BUTEXT4";"BUTEXT5";"LINR";"KKLASSE";"STSATZ";"EA";"SELCODE";"SFREI1";"SFREI2";"RFREI1";"KBRUTTOWJ";"BFREI1";"IFREI1";"IFREI2";"FESTB";"FESTBPROZ";"IHRABRVON";"IHRABRBIS";"BHEIZ";"HEIZKOSTEN";"USTVOR";"IHEIZK";"KWERTBRUTTO";"MAWAGNIS";"IHEIZEXT";"DATEVKNR";"ENR";"MAW";"NEUTRAL";"RLPOS";"BANKNR";"BKART";"BKBEMERKUNG";"SEV";"SEVKNR";"INAKTIV";"KGESAMTMITNUML";"KGESAMTMITNUMLNETTO";"BEW";"SOLL_IN_NK";"OSI_STFREI";"NICHT_IN_EAR";"DATEVKNR2";"KSTANDABRECHNEN";"ZU_RL";"CAEXIM_KAT";"FESTB_NETTO"
9;28100;"Zinsertrag";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"28100";;0,00;0,00;;;"";"";"";"";"";;19;;2;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;30100;"Entnahmen Rücklagen";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"30100";;0,00;0,00;;;"";"";"";"";"";;19;;2;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;40200;"Hausmeister-Vergütung";0,00;0,00;;"N";1;1;0;10000;0;0;"J";"40200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;40300;"Hausreinigung";0,00;0,00;;"N";1;3;0;10000;0;0;"J";"40300";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;40400;"Gartenarbeiten";0,00;0,00;;"N";1;3;0;10000;0;0;"J";"40400";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;-1;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;40600;"Winterdienst";0,00;0,00;;"N";1;3;0;10000;0;0;"J";"40600";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;41200;"Schornsteinfeger";0,00;0,00;;"N";2;11;0;10000;0;0;"J";"41200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;41300;"Heizungs-Wartung";0,00;0,00;;"N";2;11;0;10000;0;0;"J";"41300";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;41400;"Heizungs-Reparatur";0,00;0,00;;"N";2;11;0;10000;0;0;"J";"41400";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;41500;"Heizkosten (ISTA)";0,00;0,00;;"N";2;4;0;10000;0;0;"J";"41500";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;19,00;30.12.2020;30.12.2020;"J";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;42100;"Wasser (Gew).";0,00;0,00;;"N";1;8;0;10000;0;0;"J";"42100";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";1;0;0,00;19,00;30.12.2020;30.12.2020;"N";0,00;7,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;42200;"Kanal-Gebühren";0,00;0,00;;"N";1;2;0;10000;0;0;"J";"42200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;7,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;42300;"Wasser (nicht Gew.)";0,00;0,00;;"N";1;6;0;10000;0;0;"J";"42300";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;19,00;30.12.2020;30.12.2020;"N";0,00;7,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;43000;"Allgemeinstrom";0,00;0,00;;"N";1;2;0;10000;0;0;"J";"43000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;43100;"Kabelgebühren";0,00;0,00;;"N";1;14;0;10000;0;0;"J";"43100";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;43200;"Müllbeseitigung";0,00;0,00;;"N";1;2;0;10000;0;0;"J";"43200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;43300;"Straßenreinigung";0,00;0,00;;"N";1;2;0;10000;0;0;"J";"43300";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;44200;"Aufzugsstrom";0,00;0,00;;"N";1;15;0;10000;0;0;"J";"44200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;45200;"Grundsteuer";0,00;0,00;;"N";1;1;0;10000;0;0;"J";"45200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;46000;"Versicherung Gebäude";0,00;0,00;;"N";1;1;0;10000;0;0;"J";"46000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;46100;"Versicherung Brand";0,00;0,00;;"N";1;1;0;10000;0;0;"J";"46100";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;46200;"Versicherung Haftpflicht";0,00;0,00;;"N";1;1;0;10000;0;0;"J";"46200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;46300;"Versich. Leitungswasser";0,00;0,00;;"N";1;1;0;10000;0;0;"J";"46300";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;46400;"Versicherung Glasbruch";0,00;0,00;;"N";1;1;0;10000;0;0;"J";"46400";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;47500;"Material Kleinreparaturen";0,00;0,00;;"N";3;-1;-1;10000;0;0;"J";"47500";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;48000;"Rücklastschriftgebühr";0,00;0,00;;"N";1;16;;10000;0;;"J";"48000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;;;;;;"";;0,00;0;;"N";-1;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;48100;"Rechts-/Beratungskosten";0,00;0,00;;"N";3;-1;-1;10000;0;0;"J";"48100";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;48500;"Mahngebühren";0,00;0,00;;"N";1;17;;10000;0;;"J";"48500";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;;;;;;"";;0,00;0;;"N";-1;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;49000;"Nebenkosten  Geldverkehr";0,00;0,00;;"N";3;-1;-1;10000;0;0;"J";"49000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"J";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;50000;"Zinseinnahmen";0,00;0,00;;"N";1;0;0;10000;0;0;"J";"50000";;0,00;0,00;;;"";"";"";"";"";;19;;2;"";"";"";0,00;0,00;"";2;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;51400;"Instandhaltung Heizung";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"51400";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;54100;"Aufzugswartung";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"54100";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;56000;"Versicherung-Gebäude";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"56000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;56500;"Verwaltervergütung";0,00;0,00;;"N";1;61;0;10000;0;0;"N";"56500";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;57000;"Großreparaturen";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"57000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;58000;"Rücklastschriftgebühr";0,00;0,00;;"N";1;64;;10000;0;;"N";"58000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;;;;;;"";;0,00;0;;"N";-1;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
9;58500;"Mahngebühr";0,00;0,00;;"N";1;65;;10000;0;;"N";"58500";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;;;;;;"";;0,00;0;;"N";-1;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;28100;"Zinsertrag";0,00;0,00;;"N";1;-1;-1;10000;0;0;"N";"28100";;0,00;0,00;;;"";"";"";"";"";;19;;2;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;30100;"Entnahmen Rücklagen";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"30100";;0,00;0,00;;;"";"";"";"";"";;19;;2;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;49000;"Verwaltergebühr";0,00;0,00;;"N";3;-1;-1;10000;0;0;"N";"49000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;51000;"Heizkosten";0,00;0,00;;"J";1;53;0;10000;0;0;"N";"51000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;19,00;30.12.2020;30.12.2020;"J";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;51400;"Heizungs-Reparatur";0,00;0,00;;"J";1;50;0;10000;0;0;"N";"51400";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;51800;"Anschaffungen";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"51800";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;52000;"Kabel-TV";0,00;0,00;;"J";1;62;0;10000;0;0;"N";"52000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;53200;"Müllabfuhr";0,00;0,00;;"J";1;54;0;10000;0;0;"N";"53200";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;53300;"Straßenreinigung";0,00;0,00;;"J";1;51;0;10000;0;0;"N";"53300";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;53500;"Gartenpflege";0,00;0,00;;"J";1;52;0;10000;0;0;"N";"53500";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;55100;"Grundsteuer";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"55100";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;0,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;56000;"Versicherung-Gebäude";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"56000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
10;57000;"Instandhaltung";0,00;0,00;;"N";1;52;0;10000;0;0;"N";"57000";;0,00;0,00;;;"";"";"";"";"";;1;;1;"";"";"";0,00;0,00;"";0;0;0,00;0,00;30.12.2020;30.12.2020;"N";0,00;19,00;0;0,00;"N";0;;;;1;;;"";"";;;"N";;;;-1;"N";"N";;;"N";0;-1
