"ID";"ONR";"ENR";"ZAEHLNAM";"ZAEHLEINH";"ZAEHLNR";"MONTAGEORT_ID";"SORTIERUNG";"LIEFERANT_ID";"LETZTE_EICHUNG";"NAECHSTE_EICHUNG";"AUSSBAUDATUM";"EINBAUDATUM";"USCHLU1";"USCHLU2";"SAMMEL_ID";"ZUMRECH"
109;21;1;"Strom";"kwh";"4928667105";;;;;;;;9;;;1,00
110;21;1;"Gas ";"kwh";"8307324";;;;;;;;9;;;1,00
111;21;2;"Gas ";"kwh";"522293";;;;;;;;9;;;1,00
112;21;2;"Strom";"kwh";"0205704186";;;;;;;;9;;;1,00
113;20;3;"Strom";"kwh";"1000567276";;;;;;;;1;;;1,00
114;20;4;"Strom";"kwh";"1000519020";;;;;;;;1;;;1,00
115;20;6;"Strom";"kwh";"1000581461";;;;;;;;1;;;1,00
116;20;5;"Strom";"kwh";"10000602750";;;;;;;;1;;;1,00
117;20;1;"Strom";"kwh";"1000519050";;;;;;;;1;;;1,00
118;20;0;"Strom";"kwh";"1000567258";;;;;;;;0;0;;1,00
120;11;1;"Strom";"kwh";"1EMH0009074366";;;;;;;;3;;;1,00
122;14;3;"Strom";"kwh";"95039";;;;;;;;10;;;1,00
123;16;0;"Strom";"kwh";"188000-5056132";2;;;;;;;0;0;;1,00
124;16;0;"Strom";"kwh";"2998258";2;;;;;;;0;0;;1,00
126;6;0;"Gas ";"kwh";"20070718";5;;;;;;;0;0;;1,00
127;6;0;"Strom";"kwh";"260-302673";2;;;;;;;0;0;;1,00
128;6;0;"Wasser";"kwh";"7778PIP0005146607";5;;;;;;01.01.2019;0;0;;1,00
129;6;1;"Strom";"kwh";"1 EBZ01 0097 7170";7;;;;;;;9;;;1,00
130;6;3;"Strom";"kwh";"492- 54  886";7;;;;;;;9;;;1,00
133;6;7;"Strom";"kwh";"492-8667794";4;;;;;;;9;;;1,00
131;6;4;"Strom";"kwh";"364-107292";7;;;;;;;9;;;1,00
132;6;6;"Strom";"kwh";"717 - 83 04 079";7;;;;;;;9;;;1,00
134;6;2;"Strom";"kwh";"365000-5114213";7;;;;;;;9;;;1,00
136;6;5;"Strom";"kwh";"364-8407273";7;;;;;;;9;;;1,00
137;16;0;"Gas ";"kwh";"7PIP0003683993";5;;;;;;;0;0;;1,00
138;16;0;"Wasser";"kwh";"8PIP0005582933";6;;;;;;;0;0;;1,00
139;16;7;"Strom";"kwh";"492-9304263";7;;;;;;;9;;;1,00
140;16;3;"Strom";"kwh";"1ITR0054648076";7;;;;;;;9;;;1,00
141;16;5;"Strom";"kwh";"1EMH0007940212";7;;;;;;;9;;;1,00
142;16;8;"Strom";"kwh";"444000-9207769";7;;;;;;;9;;;1,00
144;16;9;"Strom";"kwh";"186000-9812684";5;;;;;;;9;;;1,00
145;16;6;"Strom";"kwh";"694-54477";5;;;;;;;9;;;1,00
146;16;1;"Strom";"kwh";"1EMH0009071477";5;;;;;;;9;;;1,00
147;16;2;"Strom";"kwh";"717000-9861252";5;;;;;;;9;;;1,00
148;15;2;"Strom";"kwh";"538510-5004031";5;;;;;;;9;;;1,00
149;15;3;"Strom";"kwh";"717000-9861260";5;;;;;;;9;;;1,00
150;15;3;"Gas ";"kwh";"579466";5;;;;;;;9;;;1,00
151;15;1;"Gas ";"kwh";"521397";5;;;;;;;9;;;1,00
152;15;1;"Strom";"kwh";"694-134108";5;;;;;;;9;;;1,00
153;15;4;"Strom";"kwh";"492- 59  250";5;;;;;;;9;;;1,00
154;15;0;"Strom";"kwh";"020-6010681";5;;;;;;;0;0;;1,00
155;15;0;"Wasser";"kwh";"8PIP0005803606";6;;;;;;;0;0;;1,00
156;9;0;"Strom HOCHF76";"kwh";"040883";5;;;;;;;0;0;;1,00
157;9;0;"Strom HOCHF76";"kwh";"114976";5;;;;;;;0;0;;1,00
158;9;0;"Wasser HOCHF76";"kwh";"064 499126";5;;;;;;;0;0;;1,00
159;9;0;"Strom HOCHF78";"kwh";"041 119";5;;;;;;;0;0;;1,00
160;9;0;"Wasser HOCHF78";"kwh";"064 499146";5;;;;;;;0;0;;1,00
161;9;1;"Strom";"kwh";"1 ESY11 6107 2795";5;;;;;;;9;;;1,00
162;9;2;"Strom";"kwh";"1 DZG00 6070 5327";5;;;;;;;9;;;1,00
163;9;3;"Strom";"kwh";"009005377";5;;;;;;;9;;;1,00
